Country Name,Country Code,Series Name,Series Code,1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Burundi,BDI,Electricity net generation,CC.ELEC.GEN,0.11,0.116,0.119,0.118,0.121,0.111,0.099,0.1,0.116,0.128,0.102,0.092,0.097,0.094,0.118,0.113,0.122,0.1489,0.147,0.15,0.174,0.187,0.18,0.184,0.279,0.268878,0.356734
Tanzania,TZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2.33018779754639,3.30064725875854,4.26906728744507,9.4,6.1970682144165,7.15528964996338,8,8.91672611236572,9.861008644104,10.7977066040039,11.1000003814697,11.3999996185303,13.5857858657837,14.5156984329224,15.4501323699951,11.5,11.1999998092651,14.8000001907349,14.1999998092651,15.3000001907349,16.3999996185303,23.5,26.1706371307373,32.7999992370605,32.2511749267578,35.048023223877,37.6596870422363
Tanzania,TZA,Electricity net consumption,CC.ELEC.CON,1.399,1.33,1.558,1.796,1.576,2.213,1.812,1.931,2.07,2.213,2,2.35,2.52,2.557,3.264,3.481,2.963,4.15612,3.85624,4.4332,4.63972,4.94066,5.4269,5.78812,5.80072,6.15122,6.52244
Tanzania,TZA,Electricity net generation,CC.ELEC.GEN,1.847,1.676,1.808,1.959,1.66,2.407,2.346,2.439,2.718,2.82,2.627,2.838,3.43,3.312,4.058,4.256,4.584,5.14512,4.96024,5.4202,5.71972,6.01666,6.4759,6.90712,6.93872,7.18822,7.38344
South Sudan,SSD,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,0.643131792545319,1.03156232833862,1.42722380161285,3,1.5,2.68468475341797,3.13636112213135,3.60786819458008,4.09718370437622,4.60133981704712,5.1173677444458,4.19999980926514,6.17316961288452,6.70700693130493
South Sudan,SSD,Electricity net consumption,CC.ELEC.CON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.39242,0.4168,0.43084,0.51644,0.46586,0.48566,0.5232,0.53166
South Sudan,SSD,Electricity net generation,CC.ELEC.GEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.41842,0.4438,0.45884,0.54344,0.48986,0.50966,0.5492,0.55766
Somalia,SOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,1.89250123500824,4.50461578369141,7.40000009536743,9.70844078063965,12.3048496246338,14.9007215499878,15.2337856292725,20.1007328033447,22.7102298736572,25.3296661376953,52.1633453369141,51.9681129455566,51.7619171142578,51.5337905883789,51.2936363220215,51.1348609924316,51.1132354736328,52.0999984741211,50.7649765014648,49.2000007629395
Somalia,SOM,Electricity net consumption,CC.ELEC.CON,0.23436,0.23715,0.23808,0.24087,0.24087,0.2418,0.24273,0.21855,0.22785,0.23994,0.24389,0.24459,0.25389,0.26226,0.27156,0.27993,0.28365,0.28551,0.2883,0.30132,0.31062,0.310713,0.311736,0.31806,0.3122,0.3122,0.3112
Somalia,SOM,Electricity net generation,CC.ELEC.GEN,0.252,0.255,0.256,0.259,0.259,0.26,0.261,0.235,0.245,0.258,0.263,0.263,0.273,0.282,0.292,0.301,0.305,0.307,0.31,0.324,0.334,0.3341,0.3352,0.342,0.3472,0.3472,0.3462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Country Climate and Development Report (CCDR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
